Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Continent,Energy consumption per capita (kWh)
Afghanistan,AFG,2016,2057.067978,Asia,1010.014
Albania,ALB,2016,12291.87338,Europe,13668.121
Algeria,DZA,2016,11826.16642,Africa,15210.944
Angola,AGO,2016,7568.998168,Africa,3605.892
Antigua and Barbuda,ATG,2016,19419.5808,Americas,32287.022
Argentina,ARG,2016,23189.52745,Americas,22832.315
Armenia,ARM,2016,11303.06785,Asia,14331.248
Aruba,ABW,2016,38314.80603,Americas,51604.092
Australia,AUS,2016,48197.43119,Oceania,67349.654
Austria,AUT,2016,53269.3062,Europe,45481.414
Azerbaijan,AZE,2016,14238.78414,Asia,17394.072
Bahamas,BHS,2016,35558.0725,Americas,32751.069
Bahrain,BHR,2016,47937.70906,Asia,142158.902
Bangladesh,BGD,2016,3920.144507,Asia,2361.492
Barbados,BRB,2016,15738.07866,Americas,25106.714
Belarus,BLR,2016,17822.60659,Europe,28325.44
Belgium,BEL,2016,49828.96291,Europe,64278.427
Belize,BLZ,2016,7207.005184,Americas,8390.657
Benin,BEN,2016,2961.440416,Africa,2128.549
Bermuda,BMU,2016,78149.35254,Americas,50229.446
Bhutan,BTN,2016,10775.19031,Asia,33586.22
Bolivia,BOL,2016,8202.544232,Americas,8243.057
Bosnia and Herzegovina,BIH,2016,13194.3254,Europe,24397.519
Botswana,BWA,2016,17117.27279,Africa,9749.645
Brazil,BRA,2016,14451.15284,Americas,16058.664
Brunei,BRN,2016,60867.29187,Asia,123822.666
Bulgaria,BGR,2016,20513.10095,Europe,29425.26
Burkina Faso,BFA,2016,1981.429814,Africa,763.064
Burundi,BDI,2016,794.6042714,Africa,162.382
Cambodia,KHM,2016,3733.524626,Asia,2933.223
Cameroon,CMR,2016,3524.443041,Africa,2003.014
Canada,CAN,2016,47457.58535,Americas,106404.161
Cape Verde,CPV,2016,6482.72155,Africa,6922.608
Cayman Islands,CYM,2016,68484.50784,Americas,42140.925
Central African Rep.,CAF,2016,884.4951965,Africa,479.422
Chad,TCD,2016,1687.053569,Africa,98.334
Chile,CHL,2016,24531.35774,Americas,23931.914
China,CHN,2016,13487.82248,Asia,24938.401
Colombia,COL,2016,14194.51566,Americas,10418.751
Comoros,COM,2016,2987.970275,Africa,997.514
Costa Rica,CRI,2016,19736.6653,Americas,12889.93
Croatia,HRV,2016,25599.84362,Europe,22131.93
Cyprus,CYP,2016,36523.73321,Asia,27043.816
Denmark,DNK,2016,54185.00848,Europe,34302.118
Djibouti,DJI,2016,4709.523889,Africa,4186.113
Dominica,DMA,2016,12154.75144,Americas,12773.826
Dominican Republic,DOM,2016,16166.61153,Americas,10118.515
Ecuador,ECU,2016,11551.61597,Americas,11179.203
Egypt,EGY,2016,10795.80874,Africa,10998.843
El Salvador,SLV,2016,8309.441799,Americas,6328.875
Equatorial Guinea,GNQ,2016,24827.03212,Africa,13371.146
Estonia,EST,2016,32130.30088,Europe,53537.079
Ethiopia,ETH,2016,1894.897364,Africa,777.152
Fiji,FJI,2016,12820.7246,Oceania,12748.308
Finland,FIN,2016,46206.78781,Europe,59642.518
France,FRA,2016,43705.14756,Europe,41930.685
Gabon,GAB,2016,15359.7404,Africa,10763.719
Gambia,GMB,2016,2036.877159,Africa,1117.995
Georgia,GEO,2016,12963.74396,Asia,19301.406
Germany,DEU,2016,51803.23542,Europe,46028.413
Ghana,GHA,2016,4712.514355,Africa,2704.759
Greece,GRC,2016,28226.90728,Europe,28991.961
Grenada,GRD,2016,15613.69013,Americas,10802.064
Guatemala,GTM,2016,8206.047987,Americas,5198.369
Guinea,GIN,2016,2253.477683,Africa,1076.807
Guinea-Bissau,GNB,2016,1864.263035,Africa,950.849
Guyana,GUY,2016,11631.0432,Americas,11180.936
Haiti,HTI,2016,2952.617094,Americas,1414.389
Honduras,HND,2016,5395.614551,Americas,5400.669
Hong Kong,HKG,2016,58096.29926,Asia,46264.723
Hungary,HUN,2016,28170.82136,Europe,26512.968
Iceland,ISL,2016,54665.76392,Europe,177647.358
India,IND,2016,5851.39488,Asia,6305.748
Indonesia,IDN,2016,10531.11097,Asia,7752.315
Iran,IRN,2016,14205.21163,Asia,37680.621
Iraq,IRQ,2016,11191.11504,Asia,14723.185
Ireland,IRL,2016,72864.48914,Europe,38377.773
Israel,ISR,2016,38234.72448,Asia,35556.614
Italy,ITA,2016,40837.73763,Europe,29445.833
Jamaica,JAM,2016,9553.096196,Americas,12888.467
Japan,JPN,2016,40031.27076,Asia,40543.449
Jordan,JOR,2016,10036.54362,Asia,13768.738
Kazakhstan,KAZ,2016,24210.86296,Asia,42123.318
Kenya,KEN,2016,3952.758132,Africa,1906.408
Kiribati,KIR,2016,2247.919779,Oceania,2262.217
Kuwait,KWT,2016,54708.97979,Asia,118318.232
Kyrgyzstan,KGZ,2016,4912.382484,Asia,11239.676
Laos,LAO,2016,6896.127374,Asia,12008.863
Latvia,LVA,2016,27503.1773,Europe,22037.449
Lebanon,LBN,2016,16100.9228,Asia,14187.92
Lesotho,LSO,2016,2776.740984,Africa,2106.94
Liberia,LBR,2016,1516.355714,Africa,1038.037
Libya,LBY,2016,10592.43094,Africa,32575.981
Lithuania,LTU,2016,31925.80342,Europe,22310.548
Luxembourg,LUX,2016,113035.8347,Europe,73131.15
Madagascar,MDG,2016,1565.867553,Africa,693.316
Malawi,MWI,2016,1428.423917,Africa,474.767
Malaysia,MYS,2016,25541.77051,Asia,38095.509
Maldives,MDV,2016,17584.14754,Asia,14105.764
Mali,MLI,2016,2198.560381,Africa,937.768
Malta,MLT,2016,40536.71818,Europe,74465.286
Mauritania,MRT,2016,5045.896724,Africa,2725.641
Mauritius,MUS,2016,20646.933,Africa,19921.093
Mexico,MEX,2016,19539.26125,Americas,17534.79
Mongolia,MNG,2016,10940.41865,Asia,19272.834
Montenegro,MNE,2016,18797.90562,Europe,19890.785
Morocco,MAR,2016,7106.241249,Africa,6312.383
Mozambique,MOZ,2016,1273.783633,Africa,3497.846
Namibia,NAM,2016,10471.27929,Africa,8577.086
Nauru,NRU,2016,13901.95361,Oceania,29983.823
Nepal,NPL,2016,3315.814414,Asia,1720.801
Netherlands,NLD,2016,53847.82655,Europe,58544.933
New Zealand,NZL,2016,41672.10124,Oceania,53336.116
Nicaragua,NIC,2016,5811.883058,Americas,4629.056
Niger,NER,2016,1151.657874,Africa,472.511
Nigeria,NGA,2016,5284.893228,Africa,2725.678
Norway,NOR,2016,63104.10039,Europe,101263.059
Oman,OMN,2016,30184.87016,Asia,75031.772
Pakistan,PAK,2016,4421.581929,Asia,4347.326
Panama,PAN,2016,29332.41454,Americas,30704.049
Papua New Guinea,PNG,2016,4222.524993,Oceania,3250.965
Paraguay,PRY,2016,12170.78439,Americas,31800.437
Peru,PER,2016,12403.68714,Americas,9748.041
Philippines,PHL,2016,7705.05377,Asia,4648.659
Poland,POL,2016,28682.69393,Europe,30350.815
Portugal,PRT,2016,31847.53773,Europe,29132.501
Puerto Rico,PRI,2016,34539.58684,Americas,25997.393
Qatar,QAT,2016,95601.80731,Asia,208849.051
Romania,ROU,2016,25145.01335,Europe,19062.626
Russia,RUS,2016,25490.70826,Europe,54990.735
Rwanda,RWA,2016,1950.526265,Africa,425.29
Saint Kitts and Nevis,KNA,2016,26075.7425,Americas,20122.61
Saint Lucia,LCA,2016,14516.24212,Americas,10202.163
Saint Vincent and the Grenadines,VCT,2016,12163.60498,Americas,9396.696
Samoa,WSM,2016,6440.797422,Oceania,7892.218
Saudi Arabia,SAU,2016,48625.84382,Asia,93983.678
Senegal,SEN,2016,3067.665577,Africa,2287.241
Serbia,SRB,2016,16182.82169,Europe,21482.462
Seychelles,SYC,2016,26309.6859,Africa,47532.375
Sierra Leone,SLE,2016,1610.550969,Africa,627.853
Singapore,SGP,2016,91307.50362,Asia,170887.453
Slovakia,SVK,2016,29250.11804,Europe,33273.469
Slovenia,SVN,2016,34858.51195,Europe,37948.446
Solomon Islands,SLB,2016,2596.545938,Oceania,1567.979
Somalia,SOM,2016,879.8893709,Africa,243.785
South Africa,ZAF,2016,12702.91708,Africa,26181.141
South Korea,KOR,2016,39814.65893,Asian,66260.338
Spain,ESP,2016,38477.57918,Europe,33743.666
Sri Lanka,LKA,2016,12287.47307,Asia,4095.598
Sudan,SDN,2016,4234.757536,Africa,2234.268
Suriname,SUR,2016,18180.60261,Americas,20463.463
Sweden,SWE,2016,51334.43203,Europe,60480.052
Switzerland,CHE,2016,68663.24382,Europe,36749.343
Tajikistan,TJK,2016,3113.254517,Asia,7956.903
Tanzania,TZA,2016,2441.636945,Africa,1299.273
Thailand,THA,2016,16782.09867,Asia,21586.529
Togo,TGO,2016,1976.807793,Africa,1441.214
Tonga,TON,2016,6312.326302,Oceania,5505.05
Trinidad and Tobago,TTO,2016,27281.85826,Americas,143129.432
Tunisia,TUN,2016,10524.9136,Africa,10223.993
Turkey,TUR,2016,26385.00194,Asia,20915.628
Turkmenistan,TKM,2016,13562.52848,Asia,58202.13
Turks and Caicos Islands,TCA,2016,28175.2522,Americas,24066.15
Uganda,UGA,2016,2075.011666,Africa,715.887
Ukraine,UKR,2016,11534.638,Europe,23122.011
United Arab Emirates,ARE,2016,66510.90299,Asia,138225.234
United Kingdom,GBR,2016,45268.73045,Europe,33577.337
United States of America,USA,2016,59112.24221,Americas,79130.818
Uruguay,URY,2016,22724.02213,Americas,20204.327
Uzbekistan,UZB,2016,6346.334778,Asia,15735.437
Vanuatu,VUT,2016,2973.467613,Oceania,2515.737
Vietnam,VNM,2016,6767.778832,Asia,9226.983
Zambia,ZMB,2016,3467.887448,Africa,2832.411
Zimbabwe,ZWE,2016,3173.610829,Africa,3385.574
